,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
13116907,13116907,2021-07-06 11:30:30.267036+00:00,x,y,2021-07-14 05:00:00+00:00,2021-07-14 06:55:00+00:00,beta,True,40.0,0,b-1,13116907,10810.0
7855570,7855570,2021-05-27 08:43:59.211430+00:00,x,y,2021-06-04 14:00:00+00:00,2021-06-04 15:55:00+00:00,beta,True,20.0,0,b-9,7855570,7427.0
4495457,4495457,2021-04-11 06:41:40.481256+00:00,x,y,2021-04-12 15:30:00+00:00,2021-04-12 17:30:00+00:00,alpha,True,15.0,1,a-7,4495457,8048.0
21337875,21337875,2021-08-28 12:05:39.935432+00:00,x,y,2021-09-09 04:40:00+00:00,2021-09-09 06:40:00+00:00,omega,True,20.0,1,d-1,21337875,6870.0
9185829,9185829,2021-06-09 09:22:15.313790+00:00,x,y,2021-06-19 05:00:00+00:00,2021-06-19 07:00:00+00:00,gamma,True,20.0,1,c-2,9185829,10900.0
16957583,16957583,2021-08-03 09:06:01.967499+00:00,x,y,2021-10-17 07:00:00+00:00,2021-10-17 09:00:00+00:00,alpha,True,15.0,1,a-5,16957583,9045.0
6414972,6414972,2021-05-08 12:41:43.627721+00:00,x,y,2021-05-22 17:00:00+00:00,2021-05-22 18:59:00+00:00,gamma,True,20.0,1,c-6,6414972,7390.0
7424793,7424793,2021-05-21 19:42:31.554246+00:00,x,y,2021-05-26 05:00:00+00:00,2021-05-26 07:00:00+00:00,alpha,True,15.0,1,a-1,7424793,7124.0
18066559,18066559,2021-08-09 21:21:27.643325+00:00,x,y,2021-10-29 17:00:00+00:00,2021-10-29 18:59:00+00:00,gamma,True,20.0,1,c-6,18066559,12560.0
19265210,19265210,2021-08-15 13:54:08.766722+00:00,x,y,2021-08-17 07:00:00+00:00,2021-08-17 09:00:00+00:00,alpha,True,15.0,1,a-5,19265210,7524.0
7726266,7726266,2021-05-25 11:52:16.948776+00:00,x,y,2021-06-06 05:00:00+00:00,2021-06-06 06:55:00+00:00,beta,True,20.0,0,b-1,7726266,7395.0
19271693,19271693,2021-08-15 14:30:36.000529+00:00,x,y,2021-08-19 13:00:00+00:00,2021-08-19 15:00:00+00:00,alpha,True,15.0,1,a-9,19271693,11245.0
117948,117948,2021-01-03 18:47:50.910493+00:00,x,y,2021-01-16 13:00:00+00:00,2021-01-16 15:00:00+00:00,alpha,True,20.0,1,a-5,117948,10227.0
15958972,15958972,2021-07-26 07:18:42.489996+00:00,x,y,2021-09-24 13:00:00+00:00,2021-09-24 15:00:00+00:00,alpha,True,15.0,1,a-9,15958972,9045.0
12313383,12313383,2021-07-02 10:03:20.287129+00:00,x,y,2021-07-16 09:45:00+00:00,2021-07-16 11:45:00+00:00,gamma,True,20.0,2,c-2,12313383,11285.0
6257742,6257742,2021-05-05 23:39:28.807486+00:00,x,y,2021-05-15 05:00:00+00:00,2021-05-15 07:00:00+00:00,gamma,True,20.0,2,c-2,6257742,8640.0
15122505,15122505,2021-07-19 17:45:09.896448+00:00,x,y,2021-07-29 13:00:00+00:00,2021-07-29 15:00:00+00:00,alpha,True,35.0,1,a-9,15122505,12645.0
12877682,12877682,2021-07-05 07:51:11.634753+00:00,x,y,2021-08-03 17:00:00+00:00,2021-08-03 18:59:00+00:00,gamma,True,20.0,2,c-6,12877682,11285.0
1332272,1332272,2021-02-06 06:33:47.647745+00:00,x,y,2021-02-16 13:00:00+00:00,2021-02-16 15:00:00+00:00,alpha,True,0.0,0,a-5,1332272,8739.0
18575783,18575783,2021-08-11 23:17:12.236198+00:00,x,y,2021-08-17 14:00:00+00:00,2021-08-17 16:00:00+00:00,gamma,True,20.0,2,c-4,18575783,7870.0
15048016,15048016,2021-07-19 06:56:44.071995+00:00,x,y,2021-07-24 17:00:00+00:00,2021-07-24 18:59:00+00:00,gamma,True,20.0,2,c-6,15048016,16075.0
4318717,4318717,2021-04-06 11:22:45.513322+00:00,x,y,2021-05-02 11:00:00+00:00,2021-05-02 13:00:00+00:00,gamma,True,20.0,1,c-4,4318717,8650.0
18805019,18805019,2021-08-13 05:47:58.496125+00:00,x,y,2021-08-28 10:00:00+00:00,2021-08-28 12:00:00+00:00,gamma,True,20.0,1,c-2,18805019,7765.0
14139828,14139828,2021-07-12 15:43:44.879248+00:00,x,y,2021-07-31 10:00:00+00:00,2021-07-31 12:00:00+00:00,alpha,True,15.0,1,a-7,14139828,11245.0
21001280,21001280,2021-08-26 00:48:31.864011+00:00,x,y,2021-08-27 05:00:00+00:00,2021-08-27 06:55:00+00:00,beta,True,40.0,0,b-1,21001280,11210.0
21647000,21647000,2021-08-31 03:02:39.331909+00:00,x,y,2021-09-02 13:00:00+00:00,2021-09-02 15:00:00+00:00,alpha,True,20.0,1,a-9,21647000,7524.0
1057262,1057262,2021-01-30 13:25:16.436445+00:00,x,y,2021-03-30 17:00:00+00:00,2021-03-30 18:59:00+00:00,gamma,True,32.0,2,c-6,1057262,10655.0
21475738,21475738,2021-08-29 14:49:15.065692+00:00,x,y,2021-10-08 07:00:00+00:00,2021-10-08 09:00:00+00:00,alpha,True,20.0,1,a-5,21475738,7524.0
7001706,7001706,2021-05-17 08:24:26.996841+00:00,x,y,2021-05-17 17:00:00+00:00,2021-05-17 18:59:00+00:00,gamma,True,20.0,1,c-6,7001706,7390.0
8049303,8049303,2021-05-29 17:21:53.393069+00:00,x,y,2021-06-29 05:00:00+00:00,2021-06-29 07:00:00+00:00,gamma,True,20.0,2,c-2,8049303,11900.0
18034636,18034636,2021-08-09 18:47:22.515113+00:00,x,y,2021-08-21 17:05:00+00:00,2021-08-21 19:05:00+00:00,omega,True,20.0,1,d-5,18034636,12250.0
856405,856405,2021-01-25 10:35:05.538876+00:00,x,y,2021-01-25 13:00:00+00:00,2021-01-25 15:00:00+00:00,alpha,True,20.0,1,a-5,856405,10227.0
11137626,11137626,2021-06-24 22:18:17.994357+00:00,x,y,2021-07-17 14:00:00+00:00,2021-07-17 16:00:00+00:00,gamma,True,20.0,2,c-4,11137626,9525.0
6366703,6366703,2021-05-07 16:51:57.350142+00:00,x,y,2021-06-16 05:00:00+00:00,2021-06-16 07:00:00+00:00,alpha,True,35.0,1,a-1,6366703,8290.0
4781754,4781754,2021-04-19 00:13:01.358987+00:00,x,y,2021-05-01 11:00:00+00:00,2021-05-01 13:00:00+00:00,gamma,True,20.0,1,c-4,4781754,7640.0
11284086,11284086,2021-06-25 22:33:08.839141+00:00,x,y,2021-07-08 05:00:00+00:00,2021-07-08 06:55:00+00:00,beta,True,20.0,0,b-1,11284086,6396.0
12884374,12884374,2021-07-05 08:26:18.542226+00:00,x,y,2021-07-15 09:45:00+00:00,2021-07-15 11:45:00+00:00,gamma,True,20.0,1,c-2,12884374,10285.0
14613577,14613577,2021-07-15 19:04:19.243932+00:00,x,y,2021-07-24 14:00:00+00:00,2021-07-24 15:55:00+00:00,beta,True,40.0,0,b-9,14613577,15390.0
3819958,3819958,2021-03-25 12:18:15.610163+00:00,x,y,2021-05-12 11:00:00+00:00,2021-05-12 12:55:00+00:00,beta,True,20.0,0,b-69,3819958,8978.0
12010868,12010868,2021-06-30 15:27:59.236098+00:00,x,y,2021-07-16 07:00:00+00:00,2021-07-16 09:00:00+00:00,alpha,True,15.0,1,a-5,12010868,7900.0
5756965,5756965,2021-04-28 19:19:49.954386+00:00,x,y,2021-05-08 13:30:00+00:00,2021-05-08 15:30:00+00:00,alpha,True,15.0,1,a-5,5756965,12647.0
3052023,3052023,2021-03-11 13:28:18.723244+00:00,x,y,2021-03-23 05:00:00+00:00,2021-03-23 07:00:00+00:00,gamma,True,20.0,2,c-2,3052023,11300.0
4198137,4198137,2021-04-03 02:19:46.464219+00:00,x,y,2021-04-28 15:30:00+00:00,2021-04-28 17:30:00+00:00,alpha,True,15.0,1,a-7,4198137,9798.0
18573985,18573985,2021-08-11 22:54:16.747384+00:00,x,y,2021-08-18 04:40:00+00:00,2021-08-18 06:40:00+00:00,omega,True,20.0,1,d-1,18573985,6870.0
14997423,14997423,2021-07-18 17:49:00.658176+00:00,x,y,2021-08-15 10:00:00+00:00,2021-08-15 12:00:00+00:00,alpha,True,15.0,1,a-7,14997423,11245.0
9714920,9714920,2021-06-13 15:10:03.546252+00:00,x,y,2021-12-18 14:00:00+00:00,2021-12-18 15:55:00+00:00,beta,True,20.0,0,b-9,9714920,6522.0
21541701,21541701,2021-08-30 07:34:19.961628+00:00,x,y,2021-08-30 16:00:00+00:00,2021-08-30 18:00:00+00:00,alpha,True,20.0,1,a-23,21541701,12645.0
12280107,12280107,2021-07-02 06:58:14.156063+00:00,x,y,2021-07-26 14:00:00+00:00,2021-07-26 16:00:00+00:00,gamma,True,20.0,2,c-4,12280107,13050.0
7245642,7245642,2021-05-19 22:25:49.116250+00:00,x,y,2021-05-28 05:00:00+00:00,2021-05-28 07:00:00+00:00,gamma,True,20.0,1,c-2,7245642,8025.0
20080071,20080071,2021-08-20 01:39:04.748783+00:00,x,y,2021-08-27 14:00:00+00:00,2021-08-27 16:00:00+00:00,gamma,True,20.0,2,c-4,20080071,11040.0
3928528,3928528,2021-03-27 14:40:21.196217+00:00,x,y,2021-04-12 08:00:00+00:00,2021-04-12 09:55:00+00:00,beta,True,20.0,0,b-69,3928528,8957.0
4531790,4531790,2021-04-12 08:40:20.368366+00:00,x,y,2021-05-09 11:00:00+00:00,2021-05-09 13:00:00+00:00,gamma,True,20.0,1,c-4,4531790,8650.0
4305960,4305960,2021-04-06 05:33:29.196693+00:00,x,y,2021-04-09 05:00:00+00:00,2021-04-09 07:00:00+00:00,alpha,True,15.0,1,a-1,4305960,8749.0
758091,758091,2021-01-22 15:15:52.302217+00:00,x,y,2021-02-28 13:30:00+00:00,2021-02-28 15:40:00+00:00,alpha,True,20.0,1,a-5,758091,10227.0
13103880,13103880,2021-07-06 10:22:42.137861+00:00,x,y,2021-07-12 16:00:00+00:00,2021-07-12 18:00:00+00:00,alpha,True,15.0,1,a-23,13103880,12945.0
20406187,20406187,2021-08-22 04:28:15.411641+00:00,x,y,2021-08-29 04:40:00+00:00,2021-08-29 06:40:00+00:00,omega,True,20.0,1,d-1,20406187,9000.0
540431,540431,2021-01-16 10:50:07.888296+00:00,x,y,2021-01-18 16:00:00+00:00,2021-01-18 18:10:00+00:00,alpha,True,0.0,0,a-7,540431,8739.0
7245793,7245793,2021-05-19 22:30:35.967010+00:00,x,y,2021-06-01 10:00:00+00:00,2021-06-01 12:00:00+00:00,alpha,True,15.0,1,a-9,7245793,6531.0
19054695,19054695,2021-08-14 10:57:02.591311+00:00,x,y,2021-08-18 14:00:00+00:00,2021-08-18 16:00:00+00:00,gamma,True,20.0,2,c-4,19054695,9525.0
13653138,13653138,2021-07-09 13:26:27.154071+00:00,x,y,2021-07-16 05:00:00+00:00,2021-07-16 07:00:00+00:00,alpha,True,15.0,1,a-1,13653138,12945.0
14869414,14869414,2021-07-17 17:08:36.522426+00:00,x,y,2021-08-02 10:00:00+00:00,2021-08-02 12:00:00+00:00,alpha,True,15.0,1,a-7,14869414,11245.0
16183554,16183554,2021-07-27 16:28:32.023325+00:00,x,y,2021-08-07 10:00:00+00:00,2021-08-07 12:00:00+00:00,gamma,True,20.0,2,c-2,16183554,10280.0
20135110,20135110,2021-08-20 09:33:38.799572+00:00,x,y,2021-08-29 14:00:00+00:00,2021-08-29 15:55:00+00:00,beta,True,40.0,0,b-9,20135110,11200.0
21242764,21242764,2021-08-27 17:05:34.024709+00:00,x,y,2021-09-16 13:00:00+00:00,2021-09-16 15:00:00+00:00,alpha,True,15.0,1,a-9,21242764,6810.0
6074640,6074640,2021-05-03 11:33:14.451291+00:00,x,y,2021-05-18 05:00:00+00:00,2021-05-18 07:00:00+00:00,alpha,True,15.0,1,a-1,6074640,7397.0
21053428,21053428,2021-08-26 10:21:17.844600+00:00,x,y,2021-09-19 10:00:00+00:00,2021-09-19 12:00:00+00:00,alpha,True,20.0,1,a-7,21053428,8381.0
91255,91255,2021-01-03 03:49:57.024035+00:00,x,y,2021-02-19 13:30:00+00:00,2021-02-19 15:40:00+00:00,alpha,True,20.0,1,a-5,91255,10227.0
4412882,4412882,2021-04-08 17:38:08.468019+00:00,x,y,2021-05-29 05:00:00+00:00,2021-05-29 07:00:00+00:00,alpha,True,15.0,1,a-1,4412882,8048.0
15464302,15464302,2021-07-22 17:22:32.949072+00:00,x,y,2021-07-27 05:00:00+00:00,2021-07-27 06:55:00+00:00,beta,True,40.0,0,b-1,15464302,13090.0
5442246,5442246,2021-04-24 15:44:01.732335+00:00,x,y,2021-05-16 17:00:00+00:00,2021-05-16 18:59:00+00:00,gamma,True,20.0,2,c-6,5442246,8640.0
12442548,12442548,2021-07-03 00:51:37.730935+00:00,x,y,2021-07-28 09:45:00+00:00,2021-07-28 11:45:00+00:00,gamma,True,20.0,2,c-2,12442548,13050.0
15539524,15539524,2021-07-23 07:50:48.718717+00:00,x,y,2021-07-25 10:00:00+00:00,2021-07-25 12:00:00+00:00,alpha,True,35.0,1,a-7,15539524,22445.0
15551502,15551502,2021-07-23 09:22:11.018705+00:00,x,y,2021-07-29 14:00:00+00:00,2021-07-29 15:55:00+00:00,beta,True,40.0,0,b-9,15551502,13100.0
1288766,1288766,2021-02-05 01:36:56.772307+00:00,x,y,2021-02-05 16:00:00+00:00,2021-02-05 18:10:00+00:00,alpha,True,20.0,1,a-7,1288766,9799.0
20829062,20829062,2021-08-24 18:56:48.224975+00:00,x,y,2021-09-03 13:00:00+00:00,2021-09-03 15:00:00+00:00,alpha,True,20.0,1,a-9,20829062,10545.0
16785441,16785441,2021-08-01 16:29:00.550114+00:00,x,y,2021-08-08 07:00:00+00:00,2021-08-08 09:00:00+00:00,alpha,True,15.0,1,a-5,16785441,11245.0
14377833,14377833,2021-07-14 07:45:24.540519+00:00,x,y,2021-07-23 11:00:00+00:00,2021-07-23 12:55:00+00:00,beta,True,40.0,0,b-69,14377833,9160.0
393850,393850,2021-01-12 01:20:21.475995+00:00,x,y,2021-02-06 11:00:00+00:00,2021-02-06 13:00:00+00:00,gamma,True,32.0,2,c-4,393850,10400.0
19031437,19031437,2021-08-14 08:48:10.497473+00:00,x,y,2021-08-27 17:00:00+00:00,2021-08-27 18:59:00+00:00,gamma,True,20.0,1,c-6,19031437,7765.0
8130550,8130550,2021-05-30 12:46:21.150788+00:00,x,y,2021-06-13 05:00:00+00:00,2021-06-13 07:00:00+00:00,gamma,True,20.0,2,c-2,8130550,11900.0
1259912,1259912,2021-02-04 09:25:40.939593+00:00,x,y,2021-02-06 16:00:00+00:00,2021-02-06 18:10:00+00:00,alpha,True,20.0,1,a-7,1259912,9799.0
17213245,17213245,2021-08-05 10:17:48.800191+00:00,x,y,2021-12-25 13:00:00+00:00,2021-12-25 15:00:00+00:00,alpha,True,20.0,1,a-9,17213245,10545.0
5029721,5029721,2021-04-20 17:12:16.287161+00:00,x,y,2021-05-20 17:00:00+00:00,2021-05-20 18:59:00+00:00,gamma,True,20.0,2,c-6,5029721,9145.0
2291816,2291816,2021-02-28 00:08:11.618735+00:00,x,y,2021-03-01 16:00:00+00:00,2021-03-01 18:10:00+00:00,alpha,True,35.0,1,a-7,2291816,8027.0
1732665,1732665,2021-02-15 17:15:23.658390+00:00,x,y,2021-03-14 05:15:00+00:00,2021-03-14 07:25:00+00:00,alpha,True,35.0,1,a-1,1732665,12500.0
17645646,17645646,2021-08-07 22:59:41.497848+00:00,x,y,2021-08-21 04:40:00+00:00,2021-08-21 06:40:00+00:00,omega,True,20.0,1,d-1,17645646,9000.0
8571866,8571866,2021-06-03 08:29:06.977476+00:00,x,y,2021-08-20 07:00:00+00:00,2021-08-20 09:00:00+00:00,alpha,True,35.0,1,a-5,8571866,9707.0
2348985,2348985,2021-02-28 19:01:02.038028+00:00,x,y,2021-03-07 05:00:00+00:00,2021-03-07 07:00:00+00:00,gamma,True,20.0,1,c-2,2348985,7390.0
7792762,7792762,2021-05-26 09:31:40.820136+00:00,x,y,2021-06-03 05:00:00+00:00,2021-06-03 07:00:00+00:00,alpha,True,35.0,1,a-1,7792762,8027.0
18641939,18641939,2021-08-12 09:47:41.481106+00:00,x,y,2021-08-12 16:00:00+00:00,2021-08-12 18:00:00+00:00,alpha,True,15.0,1,a-23,18641939,11245.0
4015403,4015403,2021-03-29 13:42:40.207250+00:00,x,y,2021-04-02 17:00:00+00:00,2021-04-02 18:59:00+00:00,gamma,True,20.0,1,c-6,4015403,9800.0
6100175,6100175,2021-05-03 18:57:36.607619+00:00,x,y,2021-05-29 13:30:00+00:00,2021-05-29 15:30:00+00:00,alpha,True,35.0,1,a-5,6100175,8605.0
12042691,12042691,2021-06-30 18:29:40.179589+00:00,x,y,2021-07-15 09:45:00+00:00,2021-07-15 11:45:00+00:00,gamma,True,20.0,2,c-2,12042691,11285.0
1468547,1468547,2021-02-09 16:17:20.117712+00:00,x,y,2021-02-18 11:00:00+00:00,2021-02-18 12:55:00+00:00,beta,True,35.0,0,b-69,1468547,9512.0
14837619,14837619,2021-07-17 12:29:29.913634+00:00,x,y,2021-07-27 16:00:00+00:00,2021-07-27 18:00:00+00:00,alpha,True,35.0,1,a-23,14837619,12645.0
13457910,13457910,2021-07-08 09:09:58.932443+00:00,x,y,2021-07-28 10:00:00+00:00,2021-07-28 12:00:00+00:00,alpha,True,15.0,1,a-7,13457910,9045.0
21391837,21391837,2021-08-28 20:10:35.895118+00:00,x,y,2021-12-24 17:00:00+00:00,2021-12-24 18:59:00+00:00,gamma,True,20.0,1,c-6,21391837,12560.0
435136,435136,2021-01-13 07:57:10.740715+00:00,x,y,2021-01-13 11:00:00+00:00,2021-01-13 13:00:00+00:00,gamma,True,32.0,2,c-4,435136,11660.0
12808809,12808809,2021-07-04 19:31:45.162918+00:00,x,y,2021-07-18 14:00:00+00:00,2021-07-18 16:00:00+00:00,gamma,True,20.0,2,c-4,12808809,15065.0
20230293,20230293,2021-08-20 19:51:02.364643+00:00,x,y,2021-08-24 13:00:00+00:00,2021-08-24 15:00:00+00:00,alpha,True,15.0,1,a-9,20230293,12945.0
17158573,17158573,2021-08-04 21:05:47.358438+00:00,x,y,2021-08-12 14:00:00+00:00,2021-08-12 16:00:00+00:00,gamma,True,20.0,1,c-4,17158573,7245.0
4103586,4103586,2021-03-31 14:34:55.129683+00:00,x,y,2021-04-01 13:30:00+00:00,2021-04-01 15:30:00+00:00,alpha,True,15.0,1,a-5,4103586,9798.0
7975578,7975578,2021-05-28 19:02:10.710681+00:00,x,y,2021-05-29 11:00:00+00:00,2021-05-29 13:00:00+00:00,gamma,True,20.0,1,c-4,7975578,8025.0
15100696,15100696,2021-07-19 14:42:42.335459+00:00,x,y,2021-07-31 07:00:00+00:00,2021-07-31 09:00:00+00:00,alpha,True,15.0,1,a-5,15100696,11245.0
15917168,15917168,2021-07-25 20:53:19.716186+00:00,x,y,2021-08-03 07:00:00+00:00,2021-08-03 09:00:00+00:00,alpha,True,15.0,1,a-5,15917168,11245.0
10941709,10941709,2021-06-23 12:45:27.405751+00:00,x,y,2021-06-30 17:00:00+00:00,2021-06-30 18:59:00+00:00,gamma,True,20.0,1,c-6,10941709,6900.0
14689650,14689650,2021-07-16 11:00:24.072272+00:00,x,y,2021-07-30 16:00:00+00:00,2021-07-30 18:00:00+00:00,alpha,True,15.0,1,a-23,14689650,11245.0
620902,620902,2021-01-18 18:47:03.445825+00:00,x,y,2021-01-27 11:00:00+00:00,2021-01-27 13:00:00+00:00,gamma,True,0.0,0,c-4,620902,8655.0
2715263,2715263,2021-03-06 10:08:04.412330+00:00,x,y,2021-03-26 13:30:00+00:00,2021-03-26 15:30:00+00:00,alpha,True,35.0,1,a-5,2715263,8027.0
18409475,18409475,2021-08-11 08:20:53.641669+00:00,x,y,2021-09-01 07:00:00+00:00,2021-09-01 09:00:00+00:00,alpha,True,15.0,1,a-5,18409475,6810.0
18271266,18271266,2021-08-10 18:25:19.580622+00:00,x,y,2021-08-20 04:40:00+00:00,2021-08-20 06:40:00+00:00,omega,True,20.0,1,d-1,18271266,10100.0
11609988,11609988,2021-06-28 09:13:11.875585+00:00,x,y,2021-06-29 13:00:00+00:00,2021-06-29 15:00:00+00:00,alpha,True,35.0,1,a-9,11609988,13277.0
21597892,21597892,2021-08-30 15:54:53.639196+00:00,x,y,2021-09-03 11:00:00+00:00,2021-09-03 13:00:00+00:00,gamma,True,20.0,2,c-4,21597892,8765.0
11695208,11695208,2021-06-28 18:06:05.015028+00:00,x,y,2021-07-17 13:00:00+00:00,2021-07-17 15:00:00+00:00,alpha,True,15.0,1,a-9,11695208,9497.0
3260344,3260344,2021-03-14 16:55:45.630954+00:00,x,y,2021-04-08 05:00:00+00:00,2021-04-08 07:00:00+00:00,alpha,True,15.0,1,a-1,3260344,9798.0
10045323,10045323,2021-06-16 01:21:14.198362+00:00,x,y,2021-07-12 10:30:00+00:00,2021-07-12 12:25:00+00:00,beta,True,20.0,0,b-69,10045323,6668.0
11418175,11418175,2021-06-27 00:05:08.191593+00:00,x,y,2021-06-27 16:00:00+00:00,2021-06-27 18:00:00+00:00,alpha,True,15.0,1,a-23,11418175,19892.0
8570508,8570508,2021-06-03 08:15:23.991794+00:00,x,y,2021-08-20 13:00:00+00:00,2021-08-20 15:00:00+00:00,alpha,True,15.0,1,a-9,8570508,9403.0
19645674,19645674,2021-08-17 15:10:42.932718+00:00,x,y,2021-08-18 04:00:00+00:00,2021-08-18 06:00:00+00:00,alpha,True,15.0,1,a-1,19645674,11245.0
3274332,3274332,2021-03-14 22:31:16.553050+00:00,x,y,2021-03-30 13:30:00+00:00,2021-03-30 15:30:00+00:00,alpha,True,15.0,1,a-5,3274332,9798.0
9974138,9974138,2021-06-15 11:26:28.514728+00:00,x,y,2021-06-22 16:00:00+00:00,2021-06-22 18:00:00+00:00,alpha,True,15.0,1,a-23,9974138,7150.0
18532014,18532014,2021-08-11 18:29:30.910651+00:00,x,y,2021-08-15 09:00:00+00:00,2021-08-15 10:55:00+00:00,beta,True,40.0,0,b-69,18532014,15830.0
1627223,1627223,2021-02-13 13:16:39.774607+00:00,x,y,2021-03-06 11:00:00+00:00,2021-03-06 13:00:00+00:00,gamma,True,32.0,1,c-4,1627223,12500.0
9512709,9512709,2021-06-12 08:54:17.834118+00:00,x,y,2021-06-20 10:00:00+00:00,2021-06-20 12:00:00+00:00,alpha,True,35.0,1,a-7,9512709,7124.0
18393589,18393589,2021-08-11 06:53:35.432446+00:00,x,y,2021-08-29 14:00:00+00:00,2021-08-29 15:55:00+00:00,beta,True,40.0,0,b-9,18393589,13350.0
7421741,7421741,2021-05-21 19:07:39.786928+00:00,x,y,2021-06-01 14:00:00+00:00,2021-06-01 15:55:00+00:00,beta,True,20.0,0,b-9,7421741,7395.0
3166988,3166988,2021-03-13 07:22:34.766529+00:00,x,y,2021-03-25 15:30:00+00:00,2021-03-25 17:30:00+00:00,alpha,True,35.0,1,a-7,3166988,10799.0
1511639,1511639,2021-02-10 18:01:17.922255+00:00,x,y,2021-02-11 16:00:00+00:00,2021-02-11 18:10:00+00:00,alpha,True,20.0,1,a-7,1511639,9799.0
3101241,3101241,2021-03-12 07:43:16.716393+00:00,x,y,2021-03-18 11:00:00+00:00,2021-03-18 13:00:00+00:00,gamma,True,20.0,1,c-4,3101241,9800.0
5167068,5167068,2021-04-21 20:15:20.190737+00:00,x,y,2021-05-01 13:30:00+00:00,2021-05-01 15:30:00+00:00,alpha,True,35.0,1,a-5,5167068,6495.0
3186195,3186195,2021-03-13 12:52:40.941407+00:00,x,y,2021-04-07 15:30:00+00:00,2021-04-07 17:30:00+00:00,alpha,True,15.0,1,a-7,3186195,9798.0
1296188,1296188,2021-02-05 07:33:02.546639+00:00,x,y,2021-02-06 11:00:00+00:00,2021-02-06 13:00:00+00:00,gamma,True,32.0,1,c-4,1296188,9405.0
19822883,19822883,2021-08-18 14:19:25.925279+00:00,x,y,2021-08-19 14:00:00+00:00,2021-08-19 15:55:00+00:00,beta,True,40.0,0,b-9,19822883,18140.0
217479,217479,2021-01-06 16:07:25.672016+00:00,x,y,2021-01-12 13:00:00+00:00,2021-01-12 15:00:00+00:00,alpha,True,0.0,0,a-5,217479,8739.0
4229757,4229757,2021-04-03 23:14:01.358065+00:00,x,y,2021-04-06 15:30:00+00:00,2021-04-06 17:30:00+00:00,alpha,True,15.0,1,a-7,4229757,9798.0
9144970,9144970,2021-06-08 20:12:25.663987+00:00,x,y,2021-06-16 17:00:00+00:00,2021-06-16 18:59:00+00:00,gamma,True,20.0,1,c-6,9144970,10900.0
4915482,4915482,2021-04-19 22:39:07.730036+00:00,x,y,2021-05-17 17:00:00+00:00,2021-05-17 18:59:00+00:00,gamma,True,20.0,1,c-6,4915482,8650.0
19846493,19846493,2021-08-18 16:37:54.395471+00:00,x,y,2021-08-29 04:00:00+00:00,2021-08-29 06:00:00+00:00,alpha,True,15.0,1,a-1,19846493,7524.0
3493141,3493141,2021-03-18 16:14:36.174476+00:00,x,y,2021-03-21 13:30:00+00:00,2021-03-21 15:30:00+00:00,alpha,True,15.0,1,a-5,3493141,10799.0
11270819,11270819,2021-06-25 19:37:00.982798+00:00,x,y,2021-07-12 13:00:00+00:00,2021-07-12 15:00:00+00:00,alpha,True,15.0,1,a-9,11270819,9497.0
349759,349759,2021-01-10 17:29:19.898798+00:00,x,y,2021-01-15 16:00:00+00:00,2021-01-15 18:10:00+00:00,alpha,True,20.0,1,a-7,349759,10227.0
